,hhid,year,month,kwh,t
639,2449,2014,3,0.807568862,15
640,2449,2014,4,0.802613843,16
641,2449,2014,5,0.966161783,17
642,2449,2014,6,1.345123981,18
643,2449,2014,7,1.410086895,19
644,2449,2014,8,1.432861783,20
645,2449,2014,9,1.218948565,21
646,2449,2014,10,0.983961649,22
647,2449,2014,11,0.668315764,23
648,2449,2014,12,0.695990255,24
649,2470,2013,1,0.5578847,1
650,2470,2013,2,0.507523686,2
651,2470,2013,3,0.434931877,3
652,2470,2013,4,0.434429931,4
653,2470,2013,5,0.560955085,5
654,2470,2013,6,1.055903032,6
655,2470,2013,7,0.909486694,7
656,2470,2013,8,1.155282124,8
657,2470,2013,9,0.898951458,9
658,2470,2013,10,0.627824395,10
659,2470,2013,11,0.641034653,11
660,2470,2013,12,0.640384297,12
661,2470,2014,1,0.579220721,13
662,2470,2014,2,0.605278001,14
663,2470,2014,3,0.606820497,15
664,2470,2014,4,0.635856088,16
665,2470,2014,5,0.872059857,17
666,2470,2014,6,1.342734722,18
667,2470,2014,7,1.445434633,19
668,2470,2014,8,1.568480197,20
669,2470,2014,9,1.261592199,21
670,2470,2014,10,0.860229435,22
671,2470,2014,11,0.657035486,23
672,2470,2014,12,0.572917652,24
673,2755,2013,1,0.57341875,1
674,2755,2013,2,0.5314906,2
675,2755,2013,3,0.489454973,3
676,2755,2013,4,0.470892917,4
677,2755,2013,5,0.790660618,5
678,2755,2013,6,1.510774838,6
679,2755,2013,7,1.499578383,7
680,2755,2013,8,1.828634274,8
681,2755,2013,9,1.399842986,9
682,2755,2013,10,0.608833199,10
683,2755,2013,11,0.617994769,11
684,2755,2013,12,0.814558154,12
685,2755,2014,1,0.71026978,13
686,2755,2014,2,0.572150496,14
687,2755,2014,3,0.519429794,15
688,2755,2014,4,0.460187616,16
689,2755,2014,5,0.625194892,17
690,2755,2014,6,1.193857639,18
691,2755,2014,7,1.300215188,19
692,2755,2014,8,1.601096797,20
693,2755,2014,9,1.068875,21
694,2755,2014,10,0.76241185,22
695,2755,2014,11,0.513141574,23
696,2755,2014,12,0.648719332,24
697,2818,2013,1,0.548525605,1
698,2818,2013,2,0.53734375,2
699,2818,2013,3,0.536260103,3
700,2818,2013,4,0.647351713,4
701,2818,2013,5,0.900041062,5
702,2818,2013,6,1.751336644,6
703,2818,2013,7,1.973997984,7
704,2818,2013,8,2.013053607,8
705,2818,2013,9,1.629160532,9
706,2818,2013,10,0.911779144,10
707,2818,2013,11,0.586727153,11
708,2818,2013,12,0.645438284,12
709,2818,2014,1,0.616439516,13
710,2818,2014,2,0.494409028,14
711,2818,2014,3,0.591155645,15
712,2818,2014,4,0.84395044,16
713,2818,2014,5,0.926878651,17
714,2818,2014,6,1.440633264,18
715,2818,2014,7,1.668950336,19
716,2818,2014,8,1.907329055,20
717,2818,2014,9,1.30417581,21
718,2818,2014,10,0.894546393,22
719,2818,2014,11,0.437309167,23
720,2818,2014,12,0.503621259,24
721,2829,2013,1,0.765019758,1
722,2829,2013,2,0.786726513,2
723,2829,2013,3,0.730511895,3
724,2829,2013,4,0.795085301,4
725,2829,2013,5,1.045788665,5
726,2829,2013,6,1.151474537,6
727,2829,2013,7,1.389813553,7
728,2829,2013,8,1.416184073,8
729,2829,2013,9,0.952532801,9
730,2829,2013,10,0.639710237,10
731,2829,2013,11,0.525085116,11
732,2829,2013,12,0.532069064,12
733,2829,2014,1,0.585399082,13
734,2829,2014,2,0.617153795,14
735,2829,2014,3,0.607779256,15
736,2829,2014,4,0.657846002,16
737,2829,2014,5,0.658511738,17
738,2829,2014,6,0.971463472,18
739,2829,2014,7,1.273799216,19
740,2829,2014,8,1.519802845,20
741,2829,2014,9,0.997585694,21
742,2829,2014,10,0.873169444,22
743,2829,2014,11,0.650294931,23
744,2829,2014,12,0.882149014,24
745,2925,2013,1,0.579922491,1
746,2925,2013,2,0.613679638,2
747,2925,2013,3,0.569860999,3
748,2925,2013,4,0.835928611,4
749,2925,2013,5,1.497770206,5
750,2925,2013,6,2.339537546,6
751,2925,2013,7,2.395735506,7
752,2925,2013,8,2.354826456,8
753,2925,2013,9,2.093856528,9
754,2925,2013,10,1.42448974,10
755,2925,2013,11,0.881113472,11
756,2925,2013,12,0.891353293,12
757,2925,2014,1,0.857863687,13
758,2925,2014,2,0.803486582,14
759,2925,2014,3,0.853924126,15
760,2925,2014,4,1.08784162,16
761,2925,2014,5,1.099300694,17
762,2925,2014,6,2.181904213,18
763,2925,2014,7,2.320121035,19
764,2925,2014,8,2.522981631,20
765,2925,2014,9,2.746653681,21
766,2925,2014,10,2.146729234,22
767,2925,2014,11,1.037581667,23
768,2925,2014,12,0.803886156,24
769,2945,2013,1,0.47345103,1
770,2945,2013,2,0.503221974,2
771,2945,2013,3,0.424114158,3
772,2945,2013,4,0.549618981,4
773,2945,2013,5,0.708466084,5
774,2945,2013,6,1.276068148,6
775,2945,2013,7,1.069497021,7
776,2945,2013,8,1.30927164,8
777,2945,2013,9,1.021913495,9
778,2945,2013,10,0.738021035,10
779,2945,2013,11,0.46313338,11
780,2945,2013,12,0.575680623,12
781,2945,2014,1,0.515862612,13
782,2945,2014,2,0.551183557,14
783,2945,2014,3,0.458620542,15
784,2945,2014,4,0.586705208,16
785,2945,2014,5,0.641448342,17
786,2945,2014,6,0.88205588,18
787,2945,2014,7,0.550118705,19
788,2945,2014,8,1.053152531,20
789,2945,2014,9,0.880476505,21
790,2945,2014,10,0.759721685,22
791,2945,2014,11,0.420573032,23
