custid,yearmonthid,kwh
51,201002,569
51,201003,528
51,201004,390
51,201005,583
51,201006,672
51,201007,842
52,200808,879
52,200809,857
52,200810,0
52,200811,2310
52,200812,1824
52,200901,1016
52,200902,790
52,200903,950
52,200904,1025
52,200905,1132
52,200906,1225
52,200907,1220
52,200908,1144
52,200909,1315
52,200910,1206
52,200911,1190
52,200912,1288
52,201001,1501
52,201002,1343
52,201003,1190
52,201004,1101
52,201005,1071
52,201006,1237
52,201007,1253
53,200808,1479
53,200809,1024
53,200810,664
53,200811,688
53,200812,757
53,200901,673
53,200902,561
53,200903,527
53,200904,456
53,200905,465
53,200906,807
53,200907,968
53,200908,1193
53,200909,772
53,200910,524
53,200911,528
53,200912,547
53,201001,577
53,201002,510
53,201003,476
53,201004,503
53,201005,621
53,201006,0
53,201007,595
54,200808,522
54,200809,682
54,200810,493
54,200811,473
54,200812,615
54,200901,662
54,200902,600
54,200903,624
54,200904,429
54,200905,456
54,200906,389
54,200907,502
54,200908,516
54,200909,588
54,200910,463
54,200911,435
54,200912,545
54,201001,736
54,201002,527
54,201003,524
54,201004,493
54,201005,436
54,201006,498
54,201007,610
55,200808,340
55,200809,444
55,200810,418
55,200811,417
55,200812,598
55,200901,571
55,200902,515
55,200903,463
55,200904,438
55,200905,489
55,200906,379
55,200907,357
55,200908,433
55,200909,357
55,200910,359
55,200911,384
55,200912,425
55,201001,503
55,201002,376
55,201003,691
55,201004,404
55,201005,604
55,201006,397
55,201007,423
56,200808,84
56,200809,95
56,200810,90
56,200811,87
56,200812,91
56,200901,89
56,200902,102
56,200903,84
56,200904,87
56,200905,86
56,200906,77
56,200907,81
56,200908,79
56,200909,87
56,200910,87
56,200911,92
56,200912,98
56,201001,99
56,201002,101
56,201003,91
56,201004,84
56,201005,107
56,201006,99
56,201007,99
57,200808,864
57,200809,1220
57,200810,875
57,200811,1045
57,200812,1500
57,200901,1739
57,200902,1349
57,200903,1264
57,200904,1018
57,200905,1016
57,200906,767
57,200907,853
57,200908,853
57,200909,574
57,200910,771
57,200911,825
57,200912,1161
57,201001,1741
57,201002,1212
57,201003,1077
57,201004,968
57,201005,1034
57,201006,658
57,201007,920
58,200808,764
58,200809,919
58,200810,750
58,200811,829
58,200812,1048
58,200901,801
58,200902,812
58,200903,818
58,200904,708
58,200905,763
58,200906,743
58,200907,673
58,200908,781
58,200909,667
58,200910,740
58,200911,783
58,200912,977
58,201001,795
58,201002,651
58,201003,586
58,201004,559
58,201005,572
58,201006,0
58,201007,701
59,200808,576
59,200809,526
59,200810,525
59,200811,511
59,200812,539
59,200901,631
59,200902,559
59,200903,448
59,200904,419
59,200905,447
59,200906,526
59,200907,572
59,200908,504
59,200909,487
59,200910,476
59,200911,490
59,200912,642
59,201001,648
59,201002,548
59,201003,453
59,201004,303
59,201005,471
59,201006,465
59,201007,570
60,200808,754
60,200809,744
60,200810,754
60,200811,1535
60,200812,3363
60,200901,2614
60,200902,2027
60,200903,1123
60,200904,917
60,200905,836
60,200906,531
60,200907,627
60,200908,685
60,200909,662
60,200910,663
60,200911,694
60,200912,644
60,201001,787
60,201002,836
60,201003,646
60,201004,777
60,201005,663
60,201006,547
60,201007,726
61,200808,458
61,200809,345
61,200810,357
61,200811,282
61,200812,371
61,200901,407
61,200902,376
61,200903,230
61,200904,165
61,200905,502
61,200906,436
61,200907,698
61,200908,628
61,200909,577
61,200910,496
61,200911,591
61,200912,783
61,201001,1561
61,201002,1463
61,201003,1366
61,201004,952
61,201005,650
61,201006,924
